time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
3.132011590525508e+00	2.596475e+00	5.192952e-04	-1.805193e-01
3.141777215525508e+00	2.582078e+00	5.164157e-04	-1.805164e-01
3.161308465525508e+00	2.553311e+00	5.106624e-04	-1.805107e-01
3.180839715525508e+00	2.524584e+00	5.049171e-04	-1.805049e-01
3.200370965525508e+00	2.495896e+00	4.991795e-04	-1.804992e-01
3.219902215525508e+00	2.467247e+00	4.934496e-04	-1.804935e-01
3.239433465525508e+00	2.438636e+00	4.877274e-04	-1.804877e-01
3.268730340525508e+00	2.395792e+00	4.791586e-04	-1.804792e-01
3.288261590525508e+00	2.367277e+00	4.734556e-04	-1.804735e-01
3.317558465525508e+00	2.324576e+00	4.649153e-04	-1.804649e-01
3.337089715525508e+00	2.296155e+00	4.592313e-04	-1.804592e-01
3.346855340525508e+00	2.281959e+00	4.563920e-04	-1.804564e-01
3.356620965525508e+00	2.267773e+00	4.535547e-04	-1.804536e-01
3.366386590525508e+00	2.253595e+00	4.507193e-04	-1.804507e-01
3.385917840525508e+00	2.225269e+00	4.450539e-04	-1.804451e-01
3.405449090525508e+00	2.196980e+00	4.393961e-04	-1.804394e-01
3.424980340525508e+00	2.168727e+00	4.337456e-04	-1.804338e-01
3.444511590525508e+00	2.140512e+00	4.281025e-04	-1.804281e-01
3.464042840525508e+00	2.112333e+00	4.224668e-04	-1.804225e-01
3.483574090525508e+00	2.084191e+00	4.168383e-04	-1.804169e-01
3.503105340525508e+00	2.056085e+00	4.112172e-04	-1.804112e-01
3.515661144096936e+00	2.038036e+00	4.076075e-04	-1.804076e-01
3.528216947668365e+00	2.020003e+00	4.040007e-04	-1.804040e-01
3.540772751239794e+00	2.001984e+00	4.003969e-04	-1.804004e-01
3.553328554811222e+00	1.983980e+00	3.967961e-04	-1.803968e-01
3.565884358382651e+00	1.965990e+00	3.931982e-04	-1.803932e-01
3.578440161954080e+00	1.948016e+00	3.896034e-04	-1.803896e-01
3.590995965525508e+00	1.930057e+00	3.860115e-04	-1.803860e-01
3.610527215525508e+00	1.902149e+00	3.804299e-04	-1.803804e-01
3.639824090525508e+00	1.860353e+00	3.720708e-04	-1.803721e-01
3.656565161954080e+00	1.836506e+00	3.673013e-04	-1.803673e-01
3.673306233382651e+00	1.812684e+00	3.625370e-04	-1.803625e-01
3.690047304811222e+00	1.788888e+00	3.577778e-04	-1.803578e-01
3.706788376239794e+00	1.765118e+00	3.530237e-04	-1.803530e-01
3.723529447668365e+00	1.741373e+00	3.482747e-04	-1.803483e-01
3.740270519096937e+00	1.717654e+00	3.435309e-04	-1.803435e-01
3.757011590525508e+00	1.693960e+00	3.387921e-04	-1.803388e-01
3.765382126239794e+00	1.682122e+00	3.364246e-04	-1.803364e-01
3.773752661954080e+00	1.670291e+00	3.340584e-04	-1.803341e-01
3.782123197668365e+00	1.658466e+00	3.316934e-04	-1.803317e-01
3.790493733382651e+00	1.646648e+00	3.293297e-04	-1.803293e-01
3.798864269096936e+00	1.634835e+00	3.269672e-04	-1.803270e-01
3.807234804811222e+00	1.623029e+00	3.246060e-04	-1.803246e-01
3.815605340525508e+00	1.611230e+00	3.222461e-04	-1.803223e-01
3.828161144096936e+00	1.593542e+00	3.187085e-04	-1.803187e-01
3.840716947668365e+00	1.575868e+00	3.151737e-04	-1.803152e-01
3.853272751239794e+00	1.558208e+00	3.116417e-04	-1.803116e-01
3.865828554811222e+00	1.540562e+00	3.081125e-04	-1.803081e-01
3.878384358382651e+00	1.522930e+00	3.045861e-04	-1.803046e-01
3.890940161954080e+00	1.505311e+00	3.010624e-04	-1.803011e-01
3.903495965525508e+00	1.487707e+00	2.975416e-04	-1.802976e-01
3.913261590525508e+00	1.474024e+00	2.948050e-04	-1.802948e-01
3.932792840525508e+00	1.446684e+00	2.893369e-04	-1.802893e-01
3.962089715525508e+00	1.405735e+00	2.811472e-04	-1.802811e-01
3.991386590525508e+00	1.364861e+00	2.729723e-04	-1.802730e-01
4.020683465525508e+00	1.324061e+00	2.648122e-04	-1.802648e-01
4.031844179811222e+00	1.308537e+00	2.617075e-04	-1.802617e-01
4.043004894096937e+00	1.293024e+00	2.586049e-04	-1.802586e-01
4.054165608382651e+00	1.277521e+00	2.555044e-04	-1.802555e-01
4.065326322668365e+00	1.262029e+00	2.524060e-04	-1.802524e-01
4.076487036954079e+00	1.246548e+00	2.493097e-04	-1.802493e-01
4.087647751239794e+00	1.231077e+00	2.462156e-04	-1.802462e-01
4.098808465525508e+00	1.215617e+00	2.431235e-04	-1.802431e-01
4.108574090525508e+00	1.202098e+00	2.404197e-04	-1.802404e-01
4.121129894096937e+00	1.184728e+00	2.369457e-04	-1.802369e-01
4.133685697668365e+00	1.167371e+00	2.334744e-04	-1.802335e-01
4.146241501239794e+00	1.150028e+00	2.300057e-04	-1.802300e-01
4.158797304811222e+00	1.132697e+00	2.265396e-04	-1.802265e-01
4.171353108382651e+00	1.115380e+00	2.230761e-04	-1.802231e-01
4.183908911954079e+00	1.098076e+00	2.196153e-04	-1.802196e-01
4.196464715525508e+00	1.080785e+00	2.161571e-04	-1.802162e-01
4.214600876239794e+00	1.055832e+00	2.111665e-04	-1.802112e-01
4.232737036954079e+00	1.030906e+00	2.061813e-04	-1.802062e-01
4.250873197668365e+00	1.006007e+00	2.012015e-04	-1.802012e-01
4.269009358382651e+00	9.811349e-01	1.962271e-04	-1.801962e-01
4.287145519096937e+00	9.562895e-01	1.912580e-04	-1.801913e-01
4.305281679811222e+00	9.314710e-01	1.862943e-04	-1.801863e-01
4.323417840525508e+00	9.066793e-01	1.813359e-04	-1.801813e-01
4.337368733382651e+00	8.876268e-01	1.775254e-04	-1.801775e-01
4.351319626239794e+00	8.685898e-01	1.737180e-04	-1.801737e-01
4.365270519096937e+00	8.495683e-01	1.699137e-04	-1.801699e-01
4.379221411954079e+00	8.305625e-01	1.661126e-04	-1.801661e-01
4.393172304811222e+00	8.115721e-01	1.623145e-04	-1.801623e-01
4.407123197668365e+00	7.925973e-01	1.585195e-04	-1.801585e-01
4.421074090525508e+00	7.736381e-01	1.547277e-04	-1.801547e-01
4.442000429811222e+00	7.452284e-01	1.490457e-04	-1.801490e-01
4.462926769096937e+00	7.168528e-01	1.433706e-04	-1.801434e-01
